word,count
copy,355
copying,22
oblige,28
obliged,127
force,1567
forced,309
abandon,209
own,5041
form,3322
forms,462
representation,275
European,601
period,1050
sheer,112
themes,41
take,10226
took,1600
off,8027
Some,697
develop,694
developed,410
differently,160
context,879
26,611
flourish,63
27,608
As,1814
investigate,286
investigated,67
seemed,962
clear,1949
answered,160
only,11811
These,836
other,12209
read,1709
site,633
play,3460
forces,233
29,587
simply,1132
transcriptions,8
power,1721
conqueror,22
conquerors,2
coercive,12
attempted,186
annihilate,20
existing,439
belief,322
beliefs,53
Indians,62
impose,257
christianity,20
Christianity,20
30,1616
nor,884
Nor,108
obviously,841
simple,1057
expression,670
resistance,304
assault,440
31,551
In,4995
both,4614
thing,5953
things,1854
once,2620
32,486
more,15195
looked,1853
beyond,715
unitary,44
idea,1833
ideas,304
authorship,27
33,473
peruvian,4
Peruvian,4
historian,122
luis,9
Luis,9
enrique,2
Enrique,2
tord,3
Tord,3
VHZ,12661
has,9427
write,2240
written,744
34,430
empire,132
VHD,19105
had,19305
profound,72
impact,409
many,5548
aspect,460
aspects,201
serious,1103
blow,585
blows,29
suffer,571
suffered,192
andean,10
Andean,10
people,8135
peoples,31
administer,68
administered,30
Church,296
35,555
efforts,131
priest,252
priests,52
missionary,20
missionaries,7
eradicate,14
ancestral,33
emotional,219
disturbance,107
disturbances,27
well,18580
great,3340
changes,499
conception,159
world,3099
36,417
To,803
enforce,86
conformity,28
orthodoxy,34
spaniard,15
Spaniards,9
institute,96
instituted,8
ecclesiastical,39
rend,6602
visita,1
visitas,1
inspection,111
inspections,1
intend,350
intended,236
extirpate,7
idolatory,2
persist,93
persisted,43
long,5796
37,364
sphere,124
range,1243
subject,1447
subjects,162
genre,100
genres,13
permit,147
permitted,67
extremely,307
narrow,331
fact,2589
religious,265
portrait,143
portraits,25
38,397
At,1123
time,14523
effectively,264
no,24892
thought,3770
recorded,323
discourse,786
outside,1678
framework,284
institution,233
institutions,126
39,378
university,457
example,2942
found,2009
founded,52
dominican,1
Dominicans,1
40,829
Painting,1
beginning,676
instrument,145
instruments,46
thinking,829
41,361
AJS,3223
early,2653
earliest,66
year,9058
years,2723
dr,324
Dr,313
writes,141
42,369
friar,18
friars,2
discover,395
discovered,182
deeply,278
impressed,190
sacred,28
create,713
created,232
newest,12
artistic,111
technique,477
techniques,192
bring,2251
brought,739
Old,247
43,380
those,6539
Those,207
see,15188
seen,1750
catechism,2
catechisms,2
bible,47
Bibles,1
hour,2103
hours,764
hymnal,1
hymnals,1
used,3323
convert,168
direct,943
worship,62
caption,1357
44,368
archangel,16
Archangel,9
raphael,7
Raphael,7
follower,38
de,922
riano,1
Riano,1
cuzco,12
Cuzco,12
school,3468
School,204
1640,71
45,579
oil,490
Oil,34
canvas,139
65,368
x,516
46,341
convento,1
Convento,1
san,43
San,43
francisco,18
Francisco,18
la,260
La,71
paz,4
Paz,4
47,340
jesuit,3
Jesuits,2
over,10166
leading,539
painter,97
europe,375
Europe,372
late,1811
sixteenth,40
century,1280
italian,226
Italian,178
bernardo,1
Bernardo,1
bitti,1
Bitti,1
live,1972
work,7545
48,376
A,5898
grow,815
grew,152
production,670
south,963
mexico,68
Mexico,67
exported,13
painters,19
parts,329
continent,120
including,1153
remote,199
area,2728
areas,636
49,338
leopoldo,3
Leopoldo,3
castedo,5
Castedo,5
chilean,13
Chilean,11
50,1081
Of,582
forty,912
seven,2351
documented,54
during,2087
thirty,1376
five,5553
criollo,3
criollos,1
mestizos,2
four,5826
51,316
list,1289
include,1394
number,4213
PNQ,8280
remain,1088
remained,223
anonymous,84
52,322
simile,10
similes,2
usually,1544
use,6345
describe,1116
stylistic,35
melding,3
blend,73
blending,10
intricate,22
amalgamation,14
tradition,397
traditions,51
byzantine,6
Byzantine,5
richness,51
belie,6
belies,2
violence,648
event,1651
events,315
53,313
phrase,329
phrases,62
however,2695
ring,1059
truth,660
aesthetic,128
sense,1407
involve,1036
involved,929
story,1085
54,335
manifest,64
manifested,15
precise,173
critical,474
also,7430
connoisseurship,2
within,2349
colonising,2
rank,279
ranks,42
55,348
blossoming,5
rebuilding,17
catastrophic,16
earthquake,54
1650,68
partly,455
due,1139
arrival,227
bishop,119
Bishop,41
manuel,5
Manuel,5
mollinedo,1
Mollinedo,1
ZZ0,10276
y,342
angulo,1
Angulo,1
56,334
he,87243
His,1026
included,325
two,15882
el,77
El,29
grecos,1
Grecos,1
outstanding,132
pictures,219
sponsor,104
sponsored,61
like,18735
diego,15
Diego,14
quispe,2
Quispe,2
tito,3
Tito,3
sculptor,17
sculptors,2
architect,145
architects,29
jeweller,14
jewellers,6
57,310
sometimes,1424
Sometimes,208
coercion,48
oppression,74
feel,3348
felt,1134
directly,550
saint,113
Saint,46
isidore,2
Isidore,2
obscure,97
vastly,28
amplify,33
amplified,18
New,750
patron,57
labourer,28
labourers,13
show,3775
shown,649
carry,1268
small,3261
bag,753
coca,37
leave,3905
leaves,295
peasant,55
peasants,17
miner,32
miners,22
chew,116
combat,100
hunger,46
fatigue,25
58,272
points,546
59,305
He,10669
shows,393
santiago,9
Santiago,9
st,474
St,459
james,349
James,338
stay,1487
staying,139
moor,81
moors,10
often,2291
changed,465
slay,9
slaying,10
60,597
would,22365
case,4382
showing,232
state,1606
State,108
warning,361
contemplate,85
contemplated,16
rebellion,74
61,296
And,6650
around,3280
lead,1927
led,499
tupac,1
Tupac,1
amaru,1
Amaru,1
ii,403
II,261
1780,65
appear,1348
explicit,150
colonialism,29
62,283
somewhat,275
unlikely,400
pelican,19
Pelican,6
History,169
relevant,515
volume,559
architecture,76
Architecture,15
spain,139
Spain,136
portugal,36
Portugal,33
dominion,12
Dominions,4
1500,89
1800,71
described,534
63,298
nursing,174
noble,83
boy,1892
boys,348
64,291
negroe,4
Negroes,4
press,746
pressing,87
she,50791
her,14042
throne,43
while,3900
nude,10
child,3293
children,1576
weep,85
abandoned,115
Two,705
richly,17
dressed,212
couple,1292
couples,52
present,1928
gift,176
gifts,35
park,862
crowd,404
crowded,107
different,3873
animal,1012
animals,342
66,291
legend,83
where,9680
Where,1051
sees,162
here,8467
67,288
Her,577
son,954
sons,57
lie,1095
groan,42
groaning,7
suckle,7
